SNO,Author,Title,Year,Department,Course,
41047,"KHURMI,  R.S.",A TEST BOOK OF THERMAL ENGINEERING [ SI UNITS ] /,2018,CIV,DEEE,
38735,"BIRDIE,  G.S.",A TEXT BOOK OF ESTIMATING AND COSTING /,2016,CIV,DCIV,
38932,"REYA,  V.V.",A TEXT BOOK OF HYDRAULICS /,2017,CIV,DCIV,
39146,"GUPTA,  B.R.",A TEXT BOOK OF IRRIGATION ENGINEERING /,2017,CIV,CSE,
38710,"MAHABOOB BASHA,  S.",A TEXTBOOK OF QUALITY SURVEYING - 1 /,2016,CIV,DCIV,
39301,"GUPTA,  B.R.",A TEXTBOOK OF QUALITY SURVEYING /,2017,CIV,CSE,
39135,"MAHABOOB BASHA,  S.",A TEXTBOOK OF QUANTITY SURVEYING - 2 /,2018,CIV,CSE,
650,"COTTON, H.",ADVANCED ELECTRICAL TECHNOLOGY /,2012,CIV,ME,
58,"KREYSZIG, ERWIN",ADVANCED ENGINEERING MATHEMATICS /,2014,CIV,DCIV,
689,"TABAK, DANIEL",ADVANCED MICROPROCESSORS /,2016,CIV,ME,
293,"GHOSH, R.K.",AN INTRODUCCTION TO ANALYSIS:DIFFERENTAL CALCULUS PART-1 /,2016,CIV,DCIV,
226,"TREMBLY, J.P.",AN INTRODUCTION TO DATA STRUCTURES WITH APPLICATIONS /,2016,CIV,DCIV,
38787,"CHOW,  VEN TE",APPLIED HYDROLOGY /,2016,CIV,DCIV,
496,"KUO, BENJAMIN C.",AUTOMATIC CONTROL SYSTEM /,2016,CIV,DMEC,
38495,"RAVI KUMAR,  A.",AUTOMOBILE ENGINEERING /,1999,CIV,DMEC,
33,"SHARPE, PAMELA J.",BARRORNS GRE TEST :,2016,CIV,DCIV,
45664,OMMI SRIKANTH,BASIC CIVIL AND MECHANICAL ENGINEERING,2024,CIV,,
38765,"CROMWELL,  LESLIC",BIOMEDICAL INSTRUMENTATION AND MEASUREMENTS /,2017,CIV,DCIV,
41066,"BHAVIKATTI,  S.S.",BUILDING CONSTRUCTION /,2016,CIV,DEEE,
41020,"RANGWALA,  S.C.",BUILDING CONSTRUCTION /,2017,CIV,DEEE,
41069,"BHAVIKATTI,  S.S.",BUILDING MATERIALS /,2015,CIV,DEEE,
39453,"DUGGAL,  S.K.",BUILDING MATERIALS /,2014,CIV,CSE,
38717,"RAVINDRA BABU,  G.",BUILDING SERVICES DRAWING /,2016,CIV,DCIV,
234,"BALAGURUSAMY, E.",C & DATA STRUCTURES /,2015,CIV,CIV,
38760,"PATIL,  B.S.",CIVIL ENGINEERING CONTRACTS AND ESTIMATES /,2016,CIV,DCIV,
39154,"MAHABOOB BASHA,  S.",CIVIL ENGINEERING DRAWING - 1 /,2017,CIV,CSE,
38942,"SREENIVASULU,   M.",CIVIL ENGINEERING DRAWING - 1 /,2017,CIV,DCIV,
